title,info,rating,url
Берегись автомобиля,"1966, 1 ч 34 мин",7.2,https://www.kinopoisk.ru/film/46089/
Шестое чувство,"The Sixth Sense, 1999, 1 ч 47 мин",7.2,https://www.kinopoisk.ru/film/395/
Чего хотят женщины,"What Women Want, 2000, 2 ч 7 мин",7.2,https://www.kinopoisk.ru/film/880/
Ученик чудовища,"Bakemono no ko, 2015, 1 ч 59 мин",7.2,https://www.kinopoisk.ru/film/885317/
Мой Хатико,"Zhong quan ba gong, 2023, 2 ч 5 мин",7.2,https://www.kinopoisk.ru/film/4395219/
День выборов,"2007, 2 ч 5 мин",7.2,https://www.kinopoisk.ru/film/309408/
Это чертово сердце,"Dieses bescheuerte Herz, 2017, 1 ч 44 мин",7.2,https://www.kinopoisk.ru/film/1024435/
Летят журавли,"1957, 1 ч 35 мин",7.2,https://www.kinopoisk.ru/film/7724/
Город бога,"Cidade de Deus, 2002, 2 ч 10 мин",7.2,https://www.kinopoisk.ru/film/439/
Васаби,"Wasabi, 2001, 1 ч 34 мин",7.2,https://www.kinopoisk.ru/film/14288/
Хоббит: Битва пяти воинств,"The Hobbit: The Battle of the Five Armies, 2014, 2 ч 24 мин",7.2,https://www.kinopoisk.ru/film/694633/
День сурка,"Groundhog Day, 1993, 1 ч 41 мин",7.2,https://www.kinopoisk.ru/film/527/
